AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2021,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3
03/04/2021,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3
04/04/2021,3,3,3,3,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,5,3,3,3
05/04/2021,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3
06/04/2021,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,1,2,1,3,3,3,3,3
07/04/2021,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3
08/04/2021,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,1,3,3,3,3,3
09/04/2021,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,1,3,3,3,3,3
10/04/2021,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,1,3,2,2,3,3,3,3
11/04/2021,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3
12/04/2021,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,1,3,3,2,3,3
13/04/2021,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,2,3,2,3,3,2,3,3
14/04/2021,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,2,3,2,3,3,3
15/04/2021,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3
16/04/2021,5,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
17/04/2021,5,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
18/04/2021,5,3,3,4,4,3,3,4,3,3,4,4,4,4,4,3,3,3,4,4,3,3,3,3,2,3,2,3,3,3,4,3
19/04/2021,5,3,3,3,4,3,3,4,4,3,5,3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,2,3,4,3,4,3
20/04/2021,5,4,3,5,3,3,3,4,4,3,5,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3
21/04/2021,5,3,3,4,3,3,3,4,3,4,4,3,3,4,4,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
22/04/2021,5,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
23/04/2021,5,3,3,3,4,3,3,3,3,3,5,3,3,4,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
24/04/2021,5,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,2,3,2,3,3,3,3,3
25/04/2021,5,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3
26/04/2021,5,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3
27/04/2021,5,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
28/04/2021,5,4,4,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
29/04/2021,5,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
30/04/2021,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
01/05/2021,3,3,3,3,3,2,3,3,3,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3
02/05/2021,3,3,3,3,3,3,2,3,3,3,4,4,3,4,3,3,2,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3
03/05/2021,3,3,4,3,4,3,3,3,3,3,3,4,5,4,3,3,2,3,3,3,3,2,3,3,1,3,4,3,5,3,3,2
04/05/2021,3,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,2,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3
05/05/2021,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,1,2,3,2,2,2,3,3
06/05/2021,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,1,3,3,3,3,2,3,3
07/05/2021,3,3,3,10,3,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,2,3,3,2,2,3,3,3,3,2,3,3
08/05/2021,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,1,2,3,2,3,2,2,2
09/05/2021,3,3,2,2,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,0,1,3,3,3,3,3,3,3
10/05/2021,3,3,3,3,3,3,2,3,3,3,4,3,6,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,6,2,3,3
11/05/2021,3,3,3,3,4,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,4,3,3,3,3,3
12/05/2021,3,3,3,3,4,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
13/05/2021,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3
14/05/2021,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
15/05/2021,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,3,3,2
16/05/2021,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,2,3,3,2,3
17/05/2021,3,3,3,2,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
18/05/2021,3,3,3,2,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3
19/05/2021,3,3,3,3,4,2,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,2,1,3,3,3,3,2,3,3
20/05/2021,3,3,3,3,4,2,3,3,3,3,4,3,5,3,3,3,2,3,3,3,3,2,2,2,1,2,3,2,5,2,3,3
21/05/2021,3,3,3,3,4,2,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,2,2,1,3,3,2,3,2,3,2
22/05/2021,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,2,1,2,3,3,3,3,3,3
23/05/2021,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,4,3,3,3
24/05/2021,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,2,3,2,1,3,3,3,3,3,3,3
25/05/2021,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,3,3,2,3,3
26/05/2021,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,2,2,2,1,2,3,3,3,3,3,3
27/05/2021,3,3,3,3,4,2,3,3,3,3,4,4,3,4,3,3,2,3,3,3,2,3,3,3,2,3,4,2,3,2,3,2
28/05/2021,3,3,3,3,4,3,3,3,3,2,5,4,3,4,3,3,2,3,3,3,2,2,3,3,2,3,4,3,3,3,3,3
29/05/2021,2,4,3,3,4,3,3,3,3,3,5,5,3,4,3,4,2,3,3,3,2,2,3,3,2,3,5,3,3,2,3,3
30/05/2021,3,3,3,3,6,3,3,3,4,4,6,4,4,4,3,3,3,3,3,3,2,3,3,3,2,3,4,3,3,3,3,3
31/05/2021,4,4,4,4,6,3,3,3,4,4,5,4,4,4,4,3,3,4,4,4,2,3,3,3,2,3,4,3,3,2,3,3
01/06/2021,4,5,5,5,5,3,3,4,5,3,6,5,5,5,5,5,3,5,4,4,3,3,4,4,2,4,4,4,4,3,5,4
02/06/2021,3,5,5,5,5,4,3,4,5,4,6,6,5,5,5,4,2,5,4,4,3,3,4,4,2,4,4,3,4,2,4,3
03/06/2021,3,4,4,4,4,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
04/06/2021,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,3,3
05/06/2021,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,2,2,2,3,3,1,3,3,3,2,2,3,3
06/06/2021,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,3
07/06/2021,3,3,4,3,3,3,2,3,3,3,4,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,2,2,3,3
08/06/2021,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3
09/06/2021,2,3,4,4,2,2,2,3,2,2,3,3,2,3,3,3,2,3,3,2,2,2,2,2,2,3,3,2,2,2,3,3
10/06/2021,2,2,3,3,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2
11/06/2021,2,3,2,3,3,2,2,2,3,3,3,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3
12/06/2021,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,3,2,3,3,2,2,2,3,2,2,3,3,3,2,2,3,3
13/06/2021,2,3,3,4,2,2,2,2,2,2,2,3,3,4,3,2,2,3,3,3,2,2,2,2,2,3,3,2,3,2,2,2
14/06/2021,3,3,4,3,2,2,2,2,3,2,2,4,3,3,3,3,2,3,3,3,2,2,2,2,2,2,4,2,2,2,2,2
15/06/2021,3,3,3,3,2,3,2,3,3,2,3,4,4,4,3,3,2,3,3,3,3,2,3,3,1,3,4,3,4,3,3,3
16/06/2021,3,4,5,3,3,3,2,3,3,2,3,3,3,4,4,4,2,3,3,2,2,2,2,3,2,3,3,3,2,3,3,3
17/06/2021,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18/06/2021,2,2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19/06/2021,2,3,2,2,2,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2
20/06/2021,2,3,3,2,3,2,2,2,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,3
21/06/2021,2,2,3,2,3,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,3,2,3,2,2,2
22/06/2021,3,3,3,2,3,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,3
23/06/2021,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,3,2,3,2
24/06/2021,2,2,3,5,2,2,2,2,2,2,2,3,2,3,3,2,2,3,2,2,1,1,2,2,2,2,3,2,2,2,2,2
25/06/2021,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2
26/06/2021,2,2,3,3,2,2,2,3,3,2,2,3,3,3,3,2,2,1,3,3,2,2,2,2,1,2,3,2,2,2,2,2
27/06/2021,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,2,2,2,2,1,2,3,2,3,2,3,2
28/06/2021,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,3,2,3,2,3,2
29/06/2021,3,3,2,4,2,2,2,3,3,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
30/06/2021,3,3,3,2,2,2,2,3,3,2,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,2,3,2,4,2,2,2
01/07/2021,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2,3,3,3,3,2,2,3
02/07/2021,2,3,4,3,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,2,2,3,3,2,3,3,3,2,2,3,3
03/07/2021,2,2,3,3,3,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,3,2,3,2,2,2
04/07/2021,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
05/07/2021,2,2,3,3,3,2,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,3,2
06/07/2021,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2
07/07/2021,2,2,2,2,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2
08/07/2021,2,3,3,2,3,2,2,3,3,2,2,3,2,3,3,3,2,2,3,2,2,2,2,2,1,2,3,3,2,2,3,3
09/07/2021,2,3,3,3,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3
10/07/2021,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11/07/2021,3,3,3,3,3,2,3,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
12/07/2021,3,2,3,2,3,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2
13/07/2021,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,2,2,3,2,3,2,1,2,3,2,2,2,3,2
14/07/2021,2,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,2,2,2,2,2,1,2,3,2,2,2,3,2
15/07/2021,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,2,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,2
16/07/2021,2,3,3,3,2,2,2,3,2,2,3,3,3,4,3,3,2,2,3,3,2,1,2,3,1,2,3,2,2,2,3,2
17/07/2021,2,3,3,3,2,2,2,3,2,2,3,3,4,4,3,2,2,2,3,3,2,1,2,3,2,2,3,2,4,2,3,2
18/07/2021,2,3,3,4,2,2,2,3,3,2,3,3,3,4,3,3,1,2,4,3,2,2,3,3,2,3,3,3,3,2,3,2
19/07/2021,3,4,3,4,2,2,2,3,3,3,3,4,4,4,4,3,2,3,3,3,2,2,3,3,2,3,4,3,4,2,4,3
20/07/2021,4,5,4,4,2,3,2,3,3,3,3,3,5,5,4,3,2,3,3,3,2,4,2,3,2,3,3,3,5,2,4,3
21/07/2021,3,4,4,4,2,2,2,4,5,3,3,5,4,6,5,3,3,3,4,3,3,3,3,3,2,3,5,3,4,2,5,3
22/07/2021,3,4,3,4,2,2,2,5,5,3,3,5,5,6,5,5,2,3,5,5,2,3,4,3,3,3,5,4,3,2,5,3
23/07/2021,3,3,3,3,2,2,2,5,3,4,2,3,4,4,3,3,2,2,3,4,2,2,2,2,2,2,3,2,3,2,3,2
24/07/2021,2,2,3,3,2,2,2,3,2,3,2,4,3,4,3,2,2,3,3,3,2,2,2,2,2,2,4,2,3,2,3,2
25/07/2021,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,2,3,3,3,3,3,3,3,2,3,4,3,3,2,3,3
26/07/2021,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,4,3
27/07/2021,3,3,3,3,4,3,3,3,3,3,2,3,3,4,3,3,2,3,3,1,3,2,3,3,1,2,3,3,3,3,3,2
28/07/2021,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,2,2,2,2,3,2,2,2,1,2,3,2,3,2,2,2
29/07/2021,3,2,2,2,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,3,3,2,2,1,2,2,2,2,3,2,2
30/07/2021,3,2,2,2,3,2,2,3,3,2,3,3,2,4,3,3,2,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2
31/07/2021,3,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2
01/08/2021,3,2,2,2,2,2,2,3,2,2,3,3,2,4,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,3,2
02/08/2021,3,2,3,2,2,2,2,3,3,2,3,3,2,4,3,3,2,2,2,2,3,2,2,2,1,2,3,2,2,2,3,2
03/08/2021,2,3,3,3,3,3,2,3,3,2,2,3,3,4,3,3,2,3,3,3,2,2,3,3,1,3,3,3,2,3,3,3
04/08/2021,3,4,4,3,3,3,2,3,3,2,3,3,3,5,3,3,2,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2
05/08/2021,4,3,3,3,3,3,2,2,2,2,3,3,6,3,3,3,2,2,2,2,3,3,2,2,1,2,3,2,6,3,3,2
06/08/2021,3,2,3,2,3,3,3,2,2,2,3,3,6,3,2,3,2,2,2,2,3,2,2,2,1,2,3,2,6,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,